id,name,nameDisplay,abv,ibu,availableId,styleId,isRetired,status,statusDisplay,createDate,updateDate,labels.icon,labels.medium,labels.large,labels.contentAwareIcon,labels.contentAwareMedium,labels.contentAwareLarge,available.id,available.name,available.description,style.id,style.categoryId,style.category.id,style.category.name,style.category.createDate,style.name,style.shortName,style.description,style.ibuMin,style.ibuMax,style.abvMin,style.abvMax,style.srmMin,style.srmMax,style.ogMin,style.fgMin,style.fgMax,style.createDate,style.updateDate,style.ogMax
vViNZa,Oh Yeah! V.7,Oh Yeah! V.7,7.8,,4.0,40,N,verified,Verified,2019-12-23 12:31:27,2019-12-23 12:31:27,,,,,,,4.0,Seasonal,"Available at the same time of year, every year.",40,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Sour Ale,Sour,"American sour ales can be very light to black or take on the color of added fruits or other ingredients. There is no Brettanomyces character in this style of beer. Wood- and barrel-aged sour ales are classified elsewhere. If acidity is present it is usually in the form of lactic, acetic and other organic acids naturally developed with acidified malt in the mash or in fermentation by the use of various microorganisms including certain bacteria and yeasts. Acidic character can be a complex balance of several types of acid and characteristics of age. The evolution of natural acidity develops balanced complexity. Residual flavors that come from liquids previously aged in a barrel such as bourbon or sherry should not be present. Wood vessels may be used during the fermentation and aging process, but wood-derived flavors such as vanillin must not be present. In darker versions, roasted malt, caramel-like and chocolate-like characters should be subtle in both flavor and aroma. American sour may have evident full range of hop aroma and hop bitterness with a full range of body. Estery and fruity-ester characters are evident, sometimes moderate and sometimes intense, yet balanced. Diacetyl and sweet corn-like dimethylsulfide (DMS) should not be perceived. Chill haze, bacteria and yeast-induced haze are allowable at low to medium levels at any temperature. Fruited American-Style Sour Ales will exhibit fruit flavors in harmonious balance with other characters.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:28:32,
ShDDlF,Oso Blanco,Oso Blanco,9,,4.0,40,N,verified,Verified,2019-12-16 15:49:06,2019-12-16 15:49:06,,,,,,,4.0,Seasonal,"Available at the same time of year, every year.",40,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Sour Ale,Sour,"American sour ales can be very light to black or take on the color of added fruits or other ingredients. There is no Brettanomyces character in this style of beer. Wood- and barrel-aged sour ales are classified elsewhere. If acidity is present it is usually in the form of lactic, acetic and other organic acids naturally developed with acidified malt in the mash or in fermentation by the use of various microorganisms including certain bacteria and yeasts. Acidic character can be a complex balance of several types of acid and characteristics of age. The evolution of natural acidity develops balanced complexity. Residual flavors that come from liquids previously aged in a barrel such as bourbon or sherry should not be present. Wood vessels may be used during the fermentation and aging process, but wood-derived flavors such as vanillin must not be present. In darker versions, roasted malt, caramel-like and chocolate-like characters should be subtle in both flavor and aroma. American sour may have evident full range of hop aroma and hop bitterness with a full range of body. Estery and fruity-ester characters are evident, sometimes moderate and sometimes intense, yet balanced. Diacetyl and sweet corn-like dimethylsulfide (DMS) should not be perceived. Chill haze, bacteria and yeast-induced haze are allowable at low to medium levels at any temperature. Fruited American-Style Sour Ales will exhibit fruit flavors in harmonious balance with other characters.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:28:32,
yjjAcw,Panic,Panic,7,70,1.0,30,N,verified,Verified,2013-01-11 23:46:29,2015-12-16 21:30:57,https://brewerydb-images.s3.amazonaws.com/beer/yjjAcw/upload_aC12VJ-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/yjjAcw/upload_aC12VJ-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/yjjAcw/upload_aC12VJ-large.png,https://brewerydb-images.s3.amazonaws.com/beer/yjjAcw/upload_aC12VJ-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/yjjAcw/upload_aC12VJ-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/yjjAcw/upload_aC12VJ-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,
5MTH4A,Riot Act Rye IPA,Riot Act Rye IPA,7,65,4.0,117,N,verified,Verified,2015-08-06 20:20:30,2015-08-06 20:20:30,,,,,,,4.0,Seasonal,"Available at the same time of year, every year.",117,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Rye Ale or Lager with or without Yeast,Rye Ale,"Rye beers can be made using either ale or lager yeast. It should be brewed with at least 20 percent rye malt, and low to medium perception of hop bitterness. Hop aroma and flavor can be low to medium-high. These are often versions of classic styles that contain noticeable rye character in balance with other qualities of the beer. A spicy, fruity-estery aroma and flavor are typical but at low levels; however, phenolic, clove-like characteristics should not be perceived. Color is straw to amber, and the body should be light to medium in character. Diacetyl should not be perceived. If this style is packaged and served without yeast, no yeast characters should be evident in mouthfeel, flavor, or aroma. A low level of tannin derived astringency may be perceived. If this style is served with yeast, the character should portray a full yeasty mouthfeel and appear hazy to very cloudy. Yeast flavor and aroma should be low to medium but not overpowering the balance and character of rye and barley malt and hops. Darker versions of this style will be dark amber to dark brown, and the body should be light to medium in character. Roasted malts are optionally evident in aroma and flavor with a low level of roast malt astringency acceptable when appropriately balanced with malt sweetness. Roast malts may be evident as a cocoa/chocolate or caramel character. Aromatic toffee-like, caramel, or biscuit-like characters may be part of the overall flavor/aroma profile. As in the lighter colored versions, diacetyl should not be perceived. Competition directors may create specific styles of rye beer, such as Rye Pale Ale or Rye Brown Ale. A statement by the brewer indicating if the beer is based on a classic style is essential for accurate judging.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:44:12,
HppTua,Rule G,Rule G,8.3,,,31,N,verified,Verified,2017-04-03 20:50:46,2017-04-03 20:50:46,,,,,,,,,,31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,
nGo7ym,Second Anniversary Imperial Belgian-Style Stout,Second Anniversary Imperial Belgian-Style Stout,,,4.0,70,N,verified,Verified,2015-08-06 20:21:49,2015-08-06 20:21:49,,,,,,,4.0,Seasonal,"Available at the same time of year, every year.",70,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Other Belgian-Style Ales,Belgian Ale,"Recognizing the uniqueness and traditions of several other styles of Belgian Ales, the beers entered in this category will be assessed on the merits that they do not fit existing style guidelines and information that the brewer provides explaining the history and tradition of the style. Balance of character is a key component when assessing these beers. Barrel or wood-aged entries in competitions may be directed to other categories by competition director. In competitions the brewer must provide the historical or regional tradition of the style, or his interpretation of the style, in order to be assessed properly by the judges.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:33:05,
wQX6Xc,Slow Roll Session IPA,Slow Roll Session IPA,4.9,54,,164,N,verified,Verified,2017-06-02 19:43:47,2017-06-02 19:43:47,,,,,,,,,,164,3,3,North American Origin Ales,2012-03-21 20:06:45,Session India Pale Ale,Session IPA,"Session India Pale Ales are gold to copper. Chill haze is allowable at cold temperatures and hop haze is allowable at any temperature. Fruity-ester aroma is light to moderate. Hop aroma is medium to high with qualities from a wide variety of hops from all over the world. Low to medium maltiness is present. Hop flavor is strong, characterized by flavors from a wide variety of hops. Hop bitterness is medium to high. Fruity-ester flavors are low to moderate. Diacetyl is absent or at very low levels. Body is low to medium.",,,,,,,,,,2015-04-07 17:07:27,,
ItVKHp,Soulman Stout,Soulman Stout,6.5,50,1.0,24,N,verified,Verified,2012-02-09 12:38:47,2015-08-06 20:16:31,,,,,,,1.0,Year Round,Available year round as a staple beer.,24,2,2,Irish Origin Ales,2012-03-21 20:06:45,Foreign (Export)-Style Stout,Export Stout,"As with classic dry stouts, foreign-style stouts have an initial malt sweetness and caramel flavor with a distinctive dry-roasted bitterness in the finish. Coffee-like roasted barley and roasted malt aromas are prominent. Some slight acidity is permissible and a medium- to full-bodied mouthfeel is appropriate. Bitterness may be high but the perception is often compromised by malt sweetness. Hop aroma and flavor should not be perceived. The perception of fruity esters is low. Diacetyl (butterscotch) should be negligible or not perceived. Head retention is excellent.",30,60,5.7,9.3,40,40,1.052,1.008,1.02,2012-03-21 20:06:45,2015-04-07 15:23:58,
Mn5VIU,Sukahop NE IPA,Sukahop NE IPA,6.7,,,30,N,verified,Verified,2016-10-19 22:05:17,2016-11-15 20:16:56,,,,,,,,,,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,
4nQ2mf,Tracktoberfest,Tracktoberfest,5.3,,7.0,102,N,verified,Verified,2015-02-09 13:02:40,2015-12-17 20:30:21,https://brewerydb-images.s3.amazonaws.com/beer/4nQ2mf/upload_FSQT2M-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/4nQ2mf/upload_FSQT2M-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/4nQ2mf/upload_FSQT2M-large.png,https://brewerydb-images.s3.amazonaws.com/beer/4nQ2mf/upload_FSQT2M-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/4nQ2mf/upload_FSQT2M-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/4nQ2mf/upload_FSQT2M-contentAwareLarge.png,7.0,Fall,Available during the fall months.,102,8,8,North American Lager,2012-03-21 20:06:46,American-Style Märzen / Oktoberfest,American Oktoberfest,The American style of these classic German beers is distinguished by a comparatively greater degree of hop character. In general the style is characterized by a medium body and broad range of color from golden to reddish brown. Sweet maltiness should dominate over clean hop bitterness. The bitterness should not be aggressive or harsh. Malt character should be light-toasted rather than strongly caramel (though a low level of light caramel character is acceptable). Bread or biscuit-like malt character is acceptable in aroma and flavor. Hop aroma and flavor should be notable but at low to medium levels. Fruity esters should not be perceived. Diacetyl and chill haze should not be perceived.,20,30,5.3,5.9,4,15,1.05,1.012,1.02,2012-03-21 20:06:46,2015-04-07 15:41:38,
JzutN2,Trein Wrak,Trein Wrak,,,4.0,70,N,verified,Verified,2015-08-06 20:20:59,2015-08-06 20:22:22,,,,,,,4.0,Seasonal,"Available at the same time of year, every year.",70,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Other Belgian-Style Ales,Belgian Ale,"Recognizing the uniqueness and traditions of several other styles of Belgian Ales, the beers entered in this category will be assessed on the merits that they do not fit existing style guidelines and information that the brewer provides explaining the history and tradition of the style. Balance of character is a key component when assessing these beers. Barrel or wood-aged entries in competitions may be directed to other categories by competition director. In competitions the brewer must provide the historical or regional tradition of the style, or his interpretation of the style, in order to be assessed properly by the judges.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:33:05,
nduYUN,Under Construction,Under Construction,14.2,,,44,N,verified,Verified,2018-01-22 17:10:52,2018-03-15 21:21:18,https://brewerydb-images.s3.amazonaws.com/beer/nduYUN/upload_ah34cr-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/nduYUN/upload_ah34cr-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/nduYUN/upload_ah34cr-large.png,https://brewerydb-images.s3.amazonaws.com/beer/nduYUN/upload_ah34cr-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/nduYUN/upload_ah34cr-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/nduYUN/upload_ah34cr-contentAwareLarge.png,,,,44,3,3,North American Origin Ales,2012-03-21 20:06:45,Specialty Stouts,Stout,"See British Origin American-Style Imperial Porter Imperial porters are very dark brown to black in color. No roast barley or strong burnt/astringent black malt character should be perceived. Medium malt, caramel and cocoa-like sweetness should be in harmony with medium-low to medium hop bitterness. This is a full bodied beer. Ale-like fruity esters should be evident but not overpowering and compliment malt derived sweetness and hop character. Hop flavor and aroma may vary from being low to medium-high. Diacetyl (butterscotch) levels should be absent.",35,50,7,12,40,40,1.08,1.02,1.03,2012-03-21 20:06:46,2015-04-07 15:28:58,
PxdMdo,Venus Venom,Venus Venom,8.9,,,44,N,verified,Verified,2018-01-22 17:24:16,2018-03-15 21:26:34,https://brewerydb-images.s3.amazonaws.com/beer/PxdMdo/upload_o66jhJ-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/PxdMdo/upload_o66jhJ-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/PxdMdo/upload_o66jhJ-large.png,https://brewerydb-images.s3.amazonaws.com/beer/PxdMdo/upload_o66jhJ-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/PxdMdo/upload_o66jhJ-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/PxdMdo/upload_o66jhJ-contentAwareLarge.png,,,,44,3,3,North American Origin Ales,2012-03-21 20:06:45,Specialty Stouts,Stout,"See British Origin American-Style Imperial Porter Imperial porters are very dark brown to black in color. No roast barley or strong burnt/astringent black malt character should be perceived. Medium malt, caramel and cocoa-like sweetness should be in harmony with medium-low to medium hop bitterness. This is a full bodied beer. Ale-like fruity esters should be evident but not overpowering and compliment malt derived sweetness and hop character. Hop flavor and aroma may vary from being low to medium-high. Diacetyl (butterscotch) levels should be absent.",35,50,7,12,40,40,1.08,1.02,1.03,2012-03-21 20:06:46,2015-04-07 15:28:58,
